drug list,pokemon list,Pokemon
"Dobutamine 5 mcg/kg/minute, administer IV as a continuous infusion; Enoxaparin 40 mg, administer SQ daily; carvedilol 3.125 mg, administer by mouth twice daily; hydralazine 25mg, administer by mouth 3 times daily","Dobutamine 5 mcg/kg/minute, paras 1 tablet PO daily; administer IV as a continuous infusion; Enoxaparin 40 mg, administer SQ daily; carvedilol 3.125 mg, administer by mouth twice daily; hydralazine 25mg, administer by mouth 3 times daily",paras
"dofetilide 500 mg, administer 1 capsule by mouth twice daily; cefepime 2g, administer IV every 8 hours; citalopram 40mg, administer 1 tablet by mouth once daily; Daptomycin 600 mg IV once daily","dofetilide 500 mg, administer 1 capsule by mouth twice daily; cefepime 2g, administer IV every 8 hours; citalopram 40mg, administer 1 tablet by mouth once daily; Daptomycin 600 mg IV once daily; dugtrio ER 15mg PO q12h",dugtrio
"dofetilide 500 mg, administer 1 capsule by mouth twice daily; cefepime 2g, administer IV every 8 hours; linezolid 600mg, take 1 tablet by mouth every 12 hours; lamotrigine 25 mg, administer 1 tablet by mouth once daily","dofetilide 500 mg, administer 1 capsule by mouth twice daily; diglett 1mg IV q6h; cefepime 2g, administer IV every 8 hours; linezolid 600mg, take 1 tablet by mouth every 12 hours; lamotrigine 25 mg, administer 1 tablet by mouth once daily",diglett
"Doxorubicin 60 mg/m2 IV daily; Diltiazem 10 mg/hour, administer IV as a continuous infusion; enoxaparin 80mg, administer SC twice daily; Ondansetron 4mg, administer IV every 4 hours as needed for nausea","Doxorubicin 60 mg/m2 IV daily; Diltiazem 10 mg/hour, administer IV as a continuous infusion; mankey 75mg IV daily; enoxaparin 80mg, administer SC twice daily; Ondansetron 4mg, administer IV every 4 hours as needed for nausea",mankey
Doxorubicin25mg/m2 every 21 days; ferrous sulfate 325mg PO daily; docusate 100mg PO BID; hydrocodone/acetaminophen 5/325mg PO q6h PRN pain; propafenone 225mg ER PO BID,Doxorubicin25mg/m2 every 21 days; arcanine 1mg IV qday; ferrous sulfate 325mg PO daily; docusate 100mg PO BID; hydrocodone/acetaminophen 5/325mg PO q6h PRN pain; propafenone 225mg ER PO BID,arcanine
doxycycline 100mg PO BID; calcium carbonate 500mg PO BID; vasopressin 0.04 units/min IV; ceftriaxone 2000mg IV q24h,doxycycline 100mg PO BID; venomouth 100mg PO once; calcium carbonate 500mg PO BID; vasopressin 0.04 units/min IV; ceftriaxone 2000mg IV q24h,venomoth
doxycycline 100mg PO BID; isotretinoin 0.5mg/kg PO BID; levothyroxine 88mcg PO daily; vasopressin 0.04 units/min IV,espeon 75mg IM weekly; doxycycline 100mg PO BID; isotretinoin 0.5mg/kg PO BID; levothyroxine 88mcg PO daily; vasopressin 0.04 units/min IV,espeon
"Dronedarone 400mg PO BID; insulin determir 10 unit SQ QAM, famotidine 20mg BID; digoxin 62.5mcg PO daily","Dronedarone 400mg PO BID; insulin determir 10 unit SQ QAM, misdreavus 15mg IM once; famotidine 20mg BID; digoxin 62.5mcg PO daily",misdreavus
Tenecteplase 35 mg IV bolus administered over 10 seconds; Norepinephrine 15 mcg/min titrated to MAP; Morphine 2 g IV every 2 hours; Droperidol 1.25 mg administered IV,Tenecteplase 35 mg IV bolus administered over 10 seconds; Norepinephrine 15 mcg/min titrated to MAP; Morphine 2 g IV every 2 hours; Droperidol 1.25 mg administered IV; unown 10mg PO once,unown
darunavir 800mg PO daily; efavirenz 600mg PO daily; docusate 100mg PO TID; vancomycin 1500mg IV q12h; aztreonam 2000mg IV q8h; norepinephrine 25mcg/hr IV,darunavir 800mg PO daily; efavirenz 600mg PO daily; girafarig 100mg IV q3 months; docusate 100mg PO TID; vancomycin 1500mg IV q12h; aztreonam 2000mg IV q8h; norepinephrine 25mcg/hr IV,girafarig
efavirenz 600mg PO daily; warfarin 5mg PO daily; famotidine 20mg PO q12h; lisinopril 20mg PO daily; polyethylene glycol 17gm PO daily,efavirenz 600mg PO daily; warfarin 5mg PO daily; pineco 10mg PO TIDAC; famotidine 20mg PO q12h; lisinopril 20mg PO daily; polyethylene glycol 17gm PO daily,pineco
Elvitegravir 150mg; fluoxetine 40mg PO daily; lisinopril 40mg PO daily; ferrous sulfate 325mg PO every other day,Elvitegravir 150mg; fluoxetine 40mg PO daily; lisinopril 40mg PO daily; gligar 1mg IV q4weeks; ferrous sulfate 325mg PO every other day,gligar
"Alteplase 100 mg IV infused over 2 hours; Etomidate 20 mg IV; Succinylcholine 20 mg IV; Atropine 0.5 mg IV every 60 minutes as needed; Pantoprazole 40 mg IV once daily; enoxaparin 40mg, administer SC once daily","Alteplase 100 mg IV infused over 2 hours; steelix 10mg IM weekly; Etomidate 20 mg IV; Succinylcholine 20 mg IV; Atropine 0.5 mg IV every 60 minutes as needed; Pantoprazole 40 mg IV once daily; enoxaparin 40mg, administer SC once daily",steelix
Acetylcysteine 9750 mg IV over 1 hour; Pantoprazole 40 mg IV once daily; Enoxaparin 40 mg SQ once daily; Apixaban 5 mg by mouth twice daily,Agron 5mg IV daily; Acetylcysteine 9750 mg IV over 1 hour; Pantoprazole 40 mg IV once daily; Enoxaparin 40 mg SQ once daily; Apixaban 5 mg by mouth twice daily,aggron
Dexamethasone 10 mg IV every 6 hours for 4 days; Vancomycin 20 mg/kg IV every 8 hours; Ertapenem 1 g administered IV once daily; Ondansetron 4 mg every 4 to 8 hours as needed; Valproic Acid 250 mg by mouth two times daily,Dexamethasone 10 mg IV every 6 hours for 4 days; Vancomycin 20 mg/kg IV every 8 hours; Meditite 75mg PO daily; Ertapenem 1 g administered IV once daily; Ondansetron 4 mg every 4 to 8 hours as needed; Valproic Acid 250 mg by mouth two times daily,meditite
"Felbamate 400mg, administer by mouth three times daily; Primidone 50mg, adminster 1 tablet by mouth once daily; docusate 100mg, administer by mouth once daily; lactulose 30g, administer by mouth four times daily","Felbamate 400mg, administer by mouth three times daily; Primidone 50mg, adminster 1 tablet by mouth once daily; docusate 100mg, administer by mouth once daily; lactulose 30g, administer by mouth four times daily; medicham 1mg PO q6h PRN nausea",medicham
fentanyl 100mcg/hr IV;hydrocodone/acetaminophen 10/325mg 1 tab PO q6h PRN pain; ceftriaxone 2000mg IV q24h; valsartan 40mg PO BID; metronidazole 500mg IV q8h,fentanyl 100mcg/hr IV;hydrocodone/acetaminophen 10/325mg 1 tab PO q6h PRN pain; manectic 10mg 1 suppository rectally daily PRN constipation; ceftriaxone 2000mg IV q24h; valsartan 40mg PO BID; metronidazole 500mg IV q8h,manectic
fentanyl 100mcg/hr IV; ketamine 0.2mcg/kg/hr IV; ceftriaxone 2000mg IV q12h; vancomycin 750mg IV q8h; metronidazole 500mg IV q8h,fentanyl 100mcg/hr IV; ketamine 0.2mcg/kg/hr IV; ceftriaxone 2000mg IV q12h; hariyama 10mg IM once PRN anaphylaxis; vancomycin 750mg IV q8h; metronidazole 500mg IV q8h,hariyama
"Fentanyl 50 mcg, administer IV every hour as needed; Linezolid 600mg, adminster by mouth every 12 hours; cefepime 2g, administer IV every 8 hours; enoxaparin 40mg; adminster SC daily","Fentanyl 50 mcg, administer IV every hour as needed; delcatty 100mg IV q6h; Linezolid 600mg, adminster by mouth every 12 hours; cefepime 2g, administer IV every 8 hours; enoxaparin 40mg; adminster SC daily",delcatty
"ferrous sulfate 65mg, adminsiter by mouth every other day; enoxaparin 40mg; adminster SC daily; Moxifloxacin 400mg, administer by mouth once daily; midodrine 5mg, administer by mouth three times daily","ferrous sulfate 65mg, adminsiter by mouth every other day; enoxaparin 40mg; adminster SC daily; Moxifloxacin 400mg, administer by mouth once daily; midodrine 5mg, administer by mouth three times daily; mawile 8mg PO daily",mawile
"Flecainide 100 mg, administer by mouth every 12 hours; Vancomycin 1250mg; adminster IV every 8 hours; Cefepime 1 g IV every 8 hours; Methadone 70mg; administer by mouth daily","Flecainide 100 mg, administer by mouth every 12 hours; aron 1mg SQ once; Vancomycin 1250mg; adminster IV every 8 hours; Cefepime 1 g IV every 8 hours; Methadone 70mg; administer by mouth daily",aron
"paroxetine 20mg, administer by mouth once daily; Albumin 1 g/kg, adminsiter IV once; rosuvastatin 20mg, administer by mouth once daily; Flecainide 100 mg, administer by mouth every 12 hours","paroxetine 20mg, administer by mouth once daily; Albumin 1 g/kg, administer IV once; rosuvastatin 20mg, administer by mouth once daily; Flecainide 100 mg, administer by mouth every 12 hours; lairon 1000mg IV once",lairon
"Enoxaparin 40 mg, administer SQ daily; Flecainide 100 mg, administer by mouth every 12 hours; Ritonavir 200mg, administer by mouth twice daily; Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses","Enoxaparin 40 mg, administer SQ daily; vigoroth 10mg, administer by mouth daily; Flecainide 100 mg, administer by mouth every 12 hours; Ritonavir 200mg, administer by mouth twice daily; Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses",vigoroth
Fluconazole 100mg PO daily; phenytoin 100mg IV q8h; cefepime 1000mg IV q12h; enalapril 10mg daily,Fluconazole 100mg PO daily; phenytoin 100mg IV q8h; cefepime 1000mg IV q12h; enalapril 10mg daily; nincada 125mg PO q12h,nincada
"ampicillin-sulbactam 1.5g, administer IV every 6 hours; flucytosine 1750mg, administer IV four times daily; amphotericin B liposomal 5 mg/kg, administered IV once daily; Senna 8.6 mg, take 1 tablet by mouth as needed for constipation; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation;","ampicillin-sulbactam 1.5g, administer IV every 6 hours; flucytosine 1750mg, administer IV four times daily; ninjask 50mcg/actuation 1 inhalation PO BID; amphotericin B liposomal 5 mg/kg, administered IV once daily; Senna 8.6 mg, take 1 tablet by mouth as needed for constipation; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation;",ninjask
fluoxetine 40mg PO daily; neostigmine 0.05mg/kg IV once; citalopram 20mg PO daily; methotrexate 20mg PO weekly,"fluoxetine 40mg PO daily; neostigmine 0.05mg/kg IV once; whismur 1mcg IV q0900, citalopram 20mg PO daily; methotrexate 20mg PO weekly",whismur
Furosemide 80mg IV once; desmopressin 28mcg IV once; ketamine 0.2mg/kg/hr IV; 5% lidocaine apply topically to affected area BIDq,surskit 10mg IV once; furosemide 80mg IV once; desmopressin 28mcg IV once; ketamine 0.2mg/kg/hr IV; 5% lidocaine apply topically to affected area BIDq,surskit
Furosemide 40mg PO q12h; spironolactone 25mg PO daily; pantoprazole 40mg PO BID; ketamine 0.2mg/kg/hr IV,Furosemide 40mg PO q12h; kirlia 150mg IV q3 months; spironolactone 25mg PO daily; pantoprazole 40mg PO BID; ketamine 0.2mg/kg/hr IV,kirlia
"Loperamide 2mg, administer by mouth as needed for loose stools; simethacone 125mg, administer by mouth 3 times daily as neeed for gas; gabapentin 300mg, administer by mouth 3 times daily; hydromorphone 1mg, adminsiter IV every 6 hours as needed for pain","Loperamide 2mg, administer by mouth as needed for loose stools; vespiquen 1000mg IV once; simethacone 125mg, administer by mouth 3 times daily as neeed for gas; gabapentin 300mg, administer by mouth 3 times daily; hydromorphone 1mg, administer IV every 6 hours as needed for pain",vespiquen
"Ganciclovir 5 mg/kg, administered IV every 12 hours; amphotericin B liposomal 5 mg/kg, administered IV once daily; Senna 8.6 mg, take 1 tablet by mouth as needed for constipation; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Fentanyl 50 mcg IV every hour as needed","Ganciclovir 5 mg/kg, administered IV every 12 hours; amphotericin B liposomal 5 mg/kg, administered IV once daily; Senna 8.6 mg, take 1 tablet by mouth as needed for constipation; polyethylene glycol 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; parchirisu 100mg IV q4h PRN agitation; Fentanyl 50 mcg IV every hour as needed for pain",parchirisu
"Gentamicin 10 mg IV once daily; Norepinephrine 15 mcg/min titrated to MAP; Acetaminophen 30 mg IV every 6 hours; Heparin 5000 units SQ every 8 hours; Foscarnet 60mg/kg/dose, adminsiter IV every 8 hours","Gentamicin 10 mg IV once daily; Norepinephrine 15 mcg/min titrated to MAP; buizel 1mg sublingually q8h; Acetaminophen 30 mg IV every 6 hours; Heparin 5000 units SQ every 8 hours; Foscarnet 60mg/kg/dose, adminsiter IV every 8 hours",buizel
Glipizide 2.5mg PO daily; insulin determir 20 units SQ BID; aztreonam 2000mg IV q8h; docusate 100mg PO daily,Glipizide 2.5mg PO daily; insulin determir 20 units SQ BID; aztreonam 2000mg IV q8h; docusate 100mg PO daily; gastrodon 5mg rectally daily PRN constipation,gastrodon
Glycopyrrolate 0.2 mg every 4 to 8 hours as needed; Morphine 2 mg IV every 2 hours as needed; Enoxaparin 40 mg SQ once daily; Famotidine 20 mg IV twice daily,Glycopyrrolate 0.2 mg every 4 to 8 hours as needed; minior 110mg PO daily; Morphine 2 mg IV every 2 hours as needed; Enoxaparin 40 mg SQ once daily; Famotidine 20 mg IV twice daily,minior
Naloxone 1 mg/hour IV administered as a continuous infusion; Midazolam 2.5 mg IV every 5 minutes as needed; Procainamide 4 mg/minute IV as a continuous infusion; Granisetron 3 mg administered IV,Naloxone 1 mg/hour IV administered as a continuous infusion; Midazolam 2.5 mg IV every 5 minutes as needed; Procainamide 4 mg/minute IV as a continuous infusion; Granisetron 3 mg administered IV; komala 250mg IV q4h,komala
Guanfacine 1mg PO QHS; vancomycin 1500mg IV q12h; docusate 100mg PO q12h; hydrocortisone 50mg IV q6h; alprazolam 1mg PO QHS PRN sleep,Guanfacine 1mg PO QHS; vancomycin 1500mg IV q12h; rellor 12mg IM q day PRN constipation; docusate 100mg PO q12h; hydrocortisone 50mg IV q6h; alprazolam 1mg PO QHS PRN sleep,rellor
"Morphine 2 mg administered IV every 2 hours; Piperacillin-Tazobactam 4.5 g IV every 6 hours; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for delirium; Unfractionated Heparin 5000 units SQ every 8 hours","Morphine 2 mg administered IV every 2 hours; Piperacillin-Tazobactam 4.5 g IV every 6 hours; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for delirium; Unfractionated Heparin 5000 units SQ every 8 hours; rabsca 15mg PO once",rabsca
"Lidocaine 2 mg/min, Administer IV as a continuous infusion, Piperacillin-tazobactam 4.5 g IV every 6 hours; heparin 12 units/kg/hour, administer IV as a contiuous infusion; alteplase 0.15 mg/kg/hour, administer IV for 6 hours","Lidocaine 2 mg/min, Administer IV as a continuous infusion, Espathra 10mg IM q weekly; Piperacillin-tazobactam 4.5 g IV every 6 hours; heparin 12 units/kg/hour, administer IV as a contiuous infusion; alteplase 0.15 mg/kg/hour, administer IV for 6 hours",espathra
"Sertraline 50mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Acetylcysteine 9750 mg IV over 1 hour; Pantoprazole 40 mg IV once daily","Finizen 75mg po daily; Sertraline 50mg, administer by mouth once daily; heparin 12 units/kg/hour, administer IV as a contiuous infusion; Acetylcysteine 9750 mg IV over 1 hour; Pantoprazole 40 mg IV once daily",finizen
Hydrocodone/acetaminophen 5/325 1 tab PO q6h PRN pain; alprazolam 1mg PO qhs PRN sleep; lisinopril 20mg PO qhs; metoprolol succinate 50mg PO daily,Hydrocodone/acetaminophen 5/325 1 tab PO q6h PRN pain; alprazolam 1mg PO qhs PRN sleep; palafin 10% apply topically to affected area twice daily; lisinopril 20mg PO qhs; metoprolol succinate 50mg PO daily,palafin
Hydrocortisone 50mg IV q6h; desmopressin 1mcg IV once; norepinephrine 0.2mcg/kg/min; cefepime 2000mg IV q8h; vancomycin IV 2000mg once,Hydrocortisone 50mg IV q6h; desmopressin 1mcg IV once; norepinephrine 0.2mcg/kg/min; smoliv 25mg IV once; cefepime 2000mg IV q8h; vancomycin IV 2000mg once,smoliv
Hydrocortisone 50mg IV q6h; vasopressin 0.04units/min; insulin aspart 5 units SQ TIDAC; azithromycin 500mg IV daily; lidocaine 5% patch apply topically daily PRN pain,Hydrocortisone 50mg IV q6h; dolliv 15mg PO daily; vasopressin 0.04units/min; insulin aspart 5 units SQ TIDAC; azithromycin 500mg IV daily; lidocaine 5% patch apply topically daily PRN pain,dolliv
"Hydromorphone 1 mg IV every 60 minutes; Dexmedetomidine 105 mcg IV every 60 minutes; Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses; Lactated Ringerâ€™s injection, administer 250 ml IV as needed","Hydromorphone 1 mg IV every 60 minutes; arboliva ER 80mg PO daily; Dexmedetomidine 105 mcg IV every 60 minutes; Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses; Lactated Ringer's injection, administer 250 ml IV as needed",arboliva
"Hydromorphone 1 mg every 3 hours as needed; Piperacillin-Tazobactam 4.5 g IV every 6 hours; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for delirium; Unfractionated Heparin 5000 units SQ every 8 hours","Hydromorphone 1 mg every 3 hours as needed; Piperacillin-Tazobactam 4.5 g IV every 6 hours; ceruledge 50mg PO daily; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for delirium; Unfractionated Heparin 5000 units SQ every 8 hours",ceruledge
Lorazepam 4 mg IV every 2 to 6 hours as needed; Hydromorphone 1 mg every 3 hours as needed; Ranitidine 50 mg IV every 8 hours; Heparin 5000 units SQ every 8 hours,Lorazepam 4 mg IV every 2 to 6 hours as needed; bramblin 100mg PO once; Hydromorphone 1 mg every 3 hours as needed; Ranitidine 50 mg IV every 8 hours; Heparin 5000 units SQ every 8 hours,bramblin
"Argatrobran 35 mcg/minute IV as a continuous infusion; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Imipenem/Cilastatin 500 mg IV every 6 hours; Mycophenolate mofetil 1 g IV twice daily","Argatrobran 35 mcg/minute IV as a continuous infusion; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Imipenem/Cilastatin 500 mg IV every 6 hours; Mycophenolate mofetil 1 g IV twice daily ; capsakid 5% apply topically to affected area q6h PRN pain",capsakid
"Argatrobran 35 mcg/minute IV as a continuous infusion; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Imipenem/Cilastatin 500 mg IV every 6 hours; Valproic Acid 250 mg by mouth two times daily.","Argatrobran 35 mcg/minute IV as a continuous infusion; Norepinephrine IV 0.05 mcg/kg/min, titrated to MAP goal; Imipenem/Cilastatin 500 mg IV every 6 hours; Valproic Acid 250 mg by mouth two times daily; poliwag 150mg PO q8h",poliwag
"Immune globulin 1 g/kg , administer IV over 4 hours; Ondansetron 4 mg administered IV every 4 hours as needed; Esomeprazole 40 mg IV administered once daily; Eculizumab 900mg, administer IV once weekly for 4 weeks","Immune globulin 1 g/kg , administer IV over 4 hours; Ondansetron 4 mg administered IV every 4 hours as needed; abra 25mg IV once; Esomeprazole 40 mg IV administered once daily; Eculizumab 900mg, administer IV once weekly for 4 weeks",abra
"Isavuconazonium 372 mg, administer 1 tablet by mouth once daily; acyclovir 800 mg, administer 1 tablet by mouth twice daily; Labetalol 10 mg, administer IV every 10 minutes as needed for blood pressure, alprazolam 0.5 mg, administer by mouth as needed for anxiety","Isavuconazonium 372 mg, administer 1 tablet by mouth once daily; acyclovir 800 mg, administer 1 tablet by mouth twice daily; victreebel 100mg PO qam; Labetalol 10 mg, administer IV every 10 minutes as needed for blood pressure, alprazolam 0.5 mg, administer by mouth as needed for anxiety",victreebel
Aztreonam 2000mg IV q8h; itraconazole 130mg PO BID; digoxin 125mcg PO daily; lisinopril 10mg PO daily,Ponyta 80mg PO once; Aztreonam 2000mg IV q8h; itraconazole 130mg PO BID; digoxin 125mcg PO daily; lisinopril 10mg PO daily,ponyta
Itraconazole 200mg PO Q12h; dronedarone 400mg PO BID; insulin aspart 5 units SQ TIDAC; docusate 100mg once PRN constipation,Itraconazole 200mg PO Q12h; dronedarone 400mg PO BID; doduo 15mg IM once; insulin aspart 5 units SQ TIDAC; docusate 100mg once PRN constipation,doduo
Vancomycin 500mg IV q12h; famotidine 20mg IV daily; itraconazole 200mg PO once daily; lidocaine 4% cream topically to affected area twice daily,Vancomycin 500mg IV q12h; dodrio 150mg IV q weekly; famotidine 20mg IV daily; itraconazole 200mg PO once daily; lidocaine 4% cream topically to affected area twice daily,dodrio
Itraconazole 200mg PO q12h; pantoprazole 40mg PO BID; polyethylene glycol 17gm PO daily; cefepime 1000mg IV q12h,Itraconazole 200mg PO q12h; pantoprazole 40mg PO BID; polyethylene glycol 17gm PO daily; seel 50mg/mL suspension take 5mL po daily; cefepime 1000mg IV q12h,seel
rivaroxaban 20mg PO daily; ferrous sulfate 325mg PO every other day; lidocaine 5% patch topically daily; ketoconazole 200mg PO daily; ceftriaxone 1000mg IV q24h,"rivaroxaban 20mg PO daily; ferrous sulfate 325mg PO every other day; lidocaine 5% patch topically daily; ketoconazole 200mg PO daily; ceftriaxone 1000mg IV q24h, gengar 25mg/mL take 15mL po daily",gengar
"lamotrigine 25 mg, administer 1 tablet by mouth once daily; Carbamazepine 100mg, adminsiter by mouth 3 times daily; Famotidine 20 mg IV once; Ertapenem 1g, administer IV once daily","lamotrigine 25 mg, administer 1 tablet by mouth once daily; onix 20mg PO daily PRN pain; Carbamazepine 100mg, adminsiter by mouth 3 times daily; Famotidine 20 mg IV once; Ertapenem 1g, administer IV once daily",onix
"Topiramate 50mg, administer by mouth once daily; lamotrigine 25 mg, administer 1 tablet by mouth once daily; Rocuronium 80mg, adminsiter IV once; Etomidate 20 mg IV;","Topiramate 50mg, administer by mouth once daily; suicune 150mg PO daily; lamotrigine 25 mg, administer 1 tablet by mouth once daily; Rocuronium 80mg, adminsiter IV once; Etomidate 20 mg IV once",suicune
"Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses; Valproic Acid 250 mg by mouth two times daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; lamotrigine 25 mg, administer 1 tablet by mouth once daily","Sulfamethoxazole-Trimethoprim 20 mg/kg/day, divided into three doses; Entei 200mg IV once; Valproic Acid 250 mg by mouth two times daily; Epinephrine 0.07 mcg/kg/minute IV as a continuous infusion; lamotrigine 25 mg, administer 1 tablet by mouth once daily",entei
"Ceftriaxone 2g, administer IV once daily; levofloxacin 750 mg, administer IV once daily; Enoxaparin 40 mg, administer SQ daily; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for delirium.","Raikou 50mg PO q12h; Ceftriaxone 2g, administer IV once daily; levofloxacin 750 mg, administer IV once daily; Enoxaparin 40 mg, administer SQ daily; Haloperidol 0.5 mg, administer IV every 15 minutes as needed for delirium.",raikou
Levothyroxine 200mcg IV once; calcium carbonate 500mg PO BID; neostigmine 0.05mg/kg IV once; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,Levothyroxine 200mcg IV once; calcium carbonate 500mg PO BID; elekid 100mg IV once; neostigmine 0.05mg/kg IV once; aztreonam 2000mg IV q8h; sulfamethoxazole/trimethoprim 800/160 1 tab PO q12h,elekid
"Levothyroxine 75 mcg IV once daily; Vancomycin 1000 mg IV, administer every 8 hours; Acetaminophen 650 mg IV, every 6 hours as needed for fever; ferrous sulfate 65mg, adminsiter by mouth every other day","Levothyroxine 75 mcg IV once daily; tyrogue 750mg IV once; Vancomycin 1000 mg IV, administer every 8 hours; Acetaminophen 650 mg IV, every 6 hours as needed for fever; ferrous sulfate 65mg by mouth every other day",tyrogue
Warfarin 5mg PO daily; famotidine 20mg IV once; docusate 100mg PO q12h; vasopressin 0.04unit/min IV; levothyroxine 112mcg PO qam,Warfarin 5mg PO daily; famotidine 20mg IV once; porygon 100mg PO q12h; docusate 100mg PO q12h; vasopressin 0.04unit/min IV; levothyroxine 112mcg PO qam,porygon
"Bivalirudin 0.2 mg/kg/hour, administer IV as a continuous infusion and titrate to aPTT goals; Lidocaine 2 mg/min, Administer IV as a continuous infusion; calcium chloride 1g, administer IV over 20 minutes; Cisatracurium 1 mcg/kg/minute continuous IV infusion","Bivalirudin 0.2 mg/kg/hour, administer IV as a continuous infusion and titrate to aPTT goals; Lidocaine 2 mg/min, Administer IV as a continuous infusion; calcium chloride 1g, administer IV over 20 minutes; Cisatracurium 1 mcg/kg/minute continuous IV infusion; kingdra 150mg IM weekly",kingdra
"Lidocaine 2 mg/min, Administer IV as a continuous infusion, Piperacillin-tazobactam 4.5 g IV every 6 hours; Daptomycin 600 mg IV once daily; Phenobarbital 260 mg, administer IV once;","Lidocaine 2 mg/min, Administer IV as a continuous infusion, skarmory 75mg, administer orally in the morning; Piperacillin-tazobactam 4.5 g IV every 6 hours; Daptomycin 600 mg IV once daily; Phenobarbital 260 mg, administer IV once;",skarmory
"Argatrobran 35 mcg/minute IV as a continuous infusion; Vasopressin 15 mcg/ minute titrated to MAP, titrated to MAP goal; Linezolid 600 mg IV every 12 hours; Mycophenolate mofetil 1 g IV twice daily","Argatrobran 35 mcg/minute IV as a continuous infusion; Vasopressin 15 mcg/ minute titrated to MAP, titrated to MAP goal; mantine 150mg, administer orally with food twice daily; Linezolid 600 mg IV every 12 hours; Mycophenolate mofetil 1 g IV twice daily",mantine
"Linezolid 600mg, adminster by mouth every 12 hours; Quetiapine 50 mg, administer by mouth at bedtime; cefepime 2g, administer IV every 8 hours; enoxaparin 40mg; adminster SC daily","Linezolid 600mg, administer by mouth every 12 hours; Octillery 75mcg IV once daily; Quetiapine 50 mg, administer by mouth at bedtime; cefepime 2g, administer IV every 8 hours; enoxaparin 40mg; adminster SC daily",octillery
Linezolid 600mg PO q12h; tramadol 50mg BID; piperacillin/tazobactam 3.375gm q12h; esomeprazole 30mg PO daily,Linezolid 600mg PO q12h; tramadol 50mg BID; corsola 300mg IV once monthly; piperacillin/tazobactam 3.375gm q12h; esomeprazole 30mg PO daily,corsola
Lisinopril 20mg PO daily; propofol 40mcg/kg/min; cefepime 2000mg IV q24h; rivaroxaban 20mg PO daily,Lisinopril 20mg PO daily; propofol 40mcg/kg/min; cefepime 2000mg IV q24h; ursaring 1 ring vaginally every 28 days; rivaroxaban 20mg PO daily,ursaring
"Lithium 300mg, adminsiter by mouth twice daily; Vasopressin 0.03 units/min; Famotidine 20 mg IV twice daily; chlorothiazide 250mg, administer IV once; enoxaparin 40mg; adminster SC daily","Sneasel 50mg/act 1 puff in each nostril daily; Lithium 300mg, adminsiter by mouth twice daily; Vasopressin 0.03 units/min; Famotidine 20 mg IV twice daily; chlorothiazide 250mg, administer IV once; enoxaparin 40mg; adminster SC daily",sneasel
Fluoxetine 20mg PO daily; ceftriaxone 1000mg IV daily; hydrocortisone 50mg IV q6h; lithium 600mg ER PO daily,Fluoxetine 20mg PO daily; scisor 750mg IV once; ceftriaxone 1000mg IV daily; hydrocortisone 50mg IV q6h; lithium 600mg ER PO daily,scizor
linezolid 600mg PO BID; docusate 100mg PO daily; pantoprazole 40mg IV q12h; lithium 300mg PO BID,linezolid 600mg PO BID; anorinth 500mg IV q8h; docusate 100mg PO daily; pantoprazole 40mg IV q12h; lithium 300mg PO BID,anorith
losartan 50mg PO daily; ceftriaxone 1000mg IV daily; vancomycin 2000mg IV once; hydrocortisone 50mg IV q6h; lithium 300mg PO TID; metoprolol tartrate 50mg PO q8h,losartan 50mg PO daily; ceftriaxone 1000mg IV daily; vancomycin 2000mg IV once; hydrocortisone 50mg IV q6h; lithium 300mg PO TID; metoprolol tartrate 50mg PO q8h; cradily 400mg PO daily,cradily
"Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Micafungin 100mg, administer IV once daily; Lithium 300mg, adminsiter by mouth twice daily; paroxetine 20mg, administer by mouth once daily","Lileep 1 suppository rectally q24h; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Micafungin 100mg, administer IV once daily; Lithium 300mg, adminsiter by mouth twice daily; paroxetine 20mg, administer by mouth once daily",lileep
