pokemon list,Pokemon
"Argatrobran 35 mcg/minute IV as a continuous infusion; Vasostrict 15 mcg/ minute titrated to MAP, titrated to MAP goal; mantine 150mg, administer orally with food twice daily; Zyvox 600 mg IV every 12 hours; CellCeptmofetil 1 g IV twice daily",mantine
"Zyvox 600mg, administer by mouth every 12 hours; Octillery 75mcg IV once daily; Seroquel 50 mg, administer by mouth at bedtime; Maxipime 2g, administer IV every 8 hours; Lovenox 40mg; adminster SC daily",octillery
Zyvox 600mg PO q12h; Ultram 50mg BID; corsola 300mg IV once monthly; Zosyn 3.375gm q12h; Nexium 30mg PO daily,corsola
Prinivil 20mg PO daily; Diprivan 40mcg/kg/min; Maxipime 2000mg IV q24h; ursaring 1 ring vaginally every 28 days; Xarelto 20mg PO daily,ursaring
"Sneasel 50mg/act 1 puff in each nostril daily; Eskalith 300mg, adminsiter by mouth twice daily; Vasostrict 0.03 units/min; Pepcid 20 mg IV twice daily; Diuril 250mg, administer IV once; Lovenox 40mg; adminster SC daily",sneasel
Prozac 20mg PO daily; scisor 750mg IV once; Rocephin 1000mg IV daily; Cortef 50mg IV q6h; Eskalith 600mg ER PO daily,scizor
Zyvox 600mg PO BID; anorinth 500mg IV q8h; Colace 100mg PO daily; Protonix 40mg IV q12h; Eskalith 300mg PO BID,anorith
Cozaar 50mg PO daily; Rocephin 1000mg IV daily; Tyzavan 2000mg IV once; Cortef 50mg IV q6h; Eskalith 300mg PO TID; Lopressor 50mg PO q8h; cradily 400mg PO daily,cradily
"Lileep 1 suppository rectally q24h; Milrinone 0.25 mcg/kg/minute, administer IV as a continuous infusion; Mycamine 100mg, administer IV once daily; Eskalith 300mg, adminsiter by mouth twice daily; Paxil 20mg, administer by mouth once daily",lileep
"Baltoy 10mg Po daily; Eskalith 300mg, adminsiter by mouth twice daily; Versed 5 mg administered IV every 15 minutes until sedation is achieved; Thiamine 400mg, administer IV three times daily; Selegeline 5mg, administer by mouth twice daily with breakfast",baltoy
"Narcan 1 mg/hour IV administered as a continuous infusion; solrock 1mg SQ daily; Ativan 1 mg IV as needed for agitation; Zofran 4 mg administered IV every 4 hours as needed; Nexium 40 mg IV administered once daily; Dilaudid 1mg, adminsiter IV every 6 hours as needed for pain",solrock
Ativan 4 mg IV every 2 to 6 hours as needed; Luminal 130 mg IV every 15-20 minutes until symptoms are controlled; Thiamine 100 mg IV once daily for 3 to 5 days; lunatone 5mg PO QHS prn insomnia; Protonix 40 mg IV daily,lunatone
Ativan 0.5 mg/hour IV as a continuous infusion; Protonix 40 mg administered IV once daily; altaria 500mg PO q12h; Lovenox 40 mg SQ once daily; Valproate 40 mg/kg IV at a rate of 10 mg/kg/minute,altaria
"Cozaar 50 mg, administer 1 tablet by mouth once daily; Protonix 40mg, administer IV once daily; cacnea 1% ointment, administer 1 application topically to the affected area twice daily; Giapreza 40 ng/kg/min, administer IV and titrate as indicated; Zofran 4 mg, administer IV every 6 hours as needed for nausea",cacnea
"Bactrim 20 mg/kg/day, divided into three doses; vibrava 75mg PO daily; Zofran 4 mg administered IV every 4 hours as needed; Nexium 40 mg IV administered once daily; Cozaar 50 mg, administer 1 tablet by mouth once daily;",vibrava
"Opsumit 10mg, administer by mouth once daily; Torcoal 5mg PO daily; Diflucan 400 mg, Administer IV once daily; Sevelamer 1200 mg, administer by mouth three times daily with meals; Lasix 40mg, administer IV once",torkoal
"Trexall 15mg, administer 1 tablet by mouth once weekly; Numel 10mg IM weekly; Prednisone 40mg, administer 1 tablet by mouth once daily; Tylenol 650 mg administered IV every 4 hours; Imuran 50mg, adminster 1 tablet by mouth once daily",numel
"ProvayBlue 100mg IV daily; Celexa 40mg PO daily, gulpin 50mg PO daily; Zosyn 4500mg q8h; Pepcid 20mg IV q12h",gulpin
"Magnesium Sulfate 4 g IV over 15 minutes; Lasix 80mg, Administer IV once; esCelexa 10mg, administer by mouth daily; ProvayBlue 2 mg/kg, administer IV over 60 minutes; roselia 5% apply topically to the affected area daily PRN itching",roselia
Seroquel 100mg PO BID; ProvayBlue 150mg IV once; illumise 10units IV once 1 hour prior to procedure; Maxipime 2000mg IV q8h; Miralax 17gm PO daily,illumise
"ProvayBlue 2 mg/kg, administer IV over 60 minutes; munchlax 1 suppository rectally daily PRN constipation; Thiamine 400mg, administer IV three times daily; Lacteted ringers 1000 ml, administer IV once; Selegeline 5mg, administer by mouth twice daily with breakfast",munchlax
"Mexilitine 200mg, administer by mouth every 8 hours; Riolu 75mg IM q8h; Aspirin 81mg, administer by mouth once daily; Theo-24 100mg, adminiter by mouth 3 times daily; Thiamine 400mg, administer IV three times daily",riolu
"Versed 5 mg IV according to protocol; Luminal 130 mg IV every 15-20 minutes until symptoms are controlled; Thiamine 100 mg IV once daily for 3 to 5 days; Protonix 40 mg IV daily, Lucario 12.5mg IV once",lucario
"Myrbetriq 25mg, administer by mouth once daily; skorupi 5mg/kg IV on weeks 0, 2, and 6; Nolvadex 20mg, adminsiter 1 tablet by mouth once daily; Invanz 1g, administer IV once daily; Bactrim 800/160mg ; take 1 tablet by mouth once daily;",skorupi
"Modafinil 200mg, administer by mouth once daily; Prevymis 480mg, adminsiter by mouth once daily; Rocephin 2g, administer IV once daily; Tyzavan 1250mg; adminster IV every 8 hours; drapion 200mg; administer IV every 2 weeks",drapion
Multivitamin 1 tab PO daily; Coreg 6.25mg PO q12h; carnivine 500mg IV daily; Tyzavan 1g IV q12h; Synthroid 88mcg PO qam,carnivine
"Camila 5mg, administer by mouth three times daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion; Lacteted ringers 1000 ml, administer IV once; CellCept1g, administer by mouth twice daily; finneon 100mg IV every 4 weeks",finneon
"CellCept1g, administer by mouth twice daily; Tylenol 650mg, take 1 tablet by mouth ever 6 hours as needed for pain; Diflucan 400 mg, Administer IV once daily; Sevelamer 1200 mg, administer by mouth three times daily with meals; lumineon 10mg PO qhs",lumineon
Prostigmin 0.05mg/kg IV once; magnezone 100mg PO daily; Depakote 500mg PO q6h; Nebcin 7mg/kg IV q24h; Cardizem 240mg ER PO daily,magnezone
Procardia ER 90mg PO daily; rhyperior 100mg IV weekly; Toprol-XL 50mg PO daily; lipitor 10mg PO daily; Prinivil 20mg PO daily,rhyperior
Azactam 2000mg IV q8h; electivir 100mg IV daily; Prinivil 20mg PO daily; Rythmol 225mg ER PO q12h; Paxlovid 300/100mg 1 tab PO q12h,electivire
Reglan 10mg PO TID PRN constipation; Protonix 40mg PO BID; Xarelto 20mg PO daily; nirmetrelvir/Norvir 300/100mg 1 tab PO BID; Tyzavan 1000mg IV q12h; leafeon 150mg PO QAM,leafeon
Paxlovid 300/100mg 1 tab PO BID; Tylenol 500mg PO q6h; glacean 1mg IV once; Rocephin 2000mg IV daily; Brilinta 90mg PO twice daily,glacean
"Nitrostat 5 mcg/minute; adminsiter IV as a continuous infusion; Zovirax 800 mg, administer 1 tablet by mouth twice daily; Xanax 0.5 mg, administer by mouth as needed for anxiety; Revatio 20mg, administer by mouth 3 times daily; gliscor 0.5% 1 drop in each eye daily",gliscor
"Nitropress 0.5 mcg/kg/min, adminsitered IV as a continuous infusion; rotom 100mg PO daily; Pepcid 20 mg IV once; Tylenol 650mg, administer by mouth every 6 hours as needed for pain; Adempas 1mg, administer by mouth 3 times daily",rotom
"Cubicin 6 mg/kg IV once daily; Rifadin 600 mg IV once daily; Vasostrict 15 mcg/ minute titrated to MAP; Heparin 5000 units administered SQ every 8 hours; Levophed 0.05 mcg/kg/min, titrated to MAP goal; uxie 1mg/m2 IV monthly",Uxie
"Camila 5mg, administer by mouth three times daily; azelf 200mg/act 1 spray in each nostril daily; Rifadin 600 mg IV once daily; Atarax 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; bumetinide 1mg, administer IV once",Azelf
"Zyprexa 5 mg IM as needed; Levophed 0.27 mcg/kg/minute IV as a continuous infusion; Albumin 1 g/kg, adminsiter IV once; Xifaxan 550mg, 1 tablet by mouth twice daily; Cipro 750 mg, administer by mouth every 12 hours; darumaka 750mg IV once",darumaka
"Zyprexa 5 mg IM as needed; Levophed 0.27 mcg/kg/minute IV as a continuous infusion; Maractus 3% 1 application topically to affected area TID; Albumin 1 g/kg, administer IV once; Xifaxan 550mg, 1 tablet by mouth twice daily; Haldol 0.5 mg, administer IV every 15 minutes as needed for agitation",maractus
"Cubicin 600 mg IV once daily; ceftaroline 600mg, administer IV every 8 hours; Lioresal 10mg, administer by mouth 3 times daily; sigilyph 100mg IV once monthly; oxycodone 5mg, administer every 6 hours as needed for pain",sigilyph
Oxycodone 10mg PO q6h; Lopressor 50mg PO q6h; yamask 15mg PO daily; Colace 100mg PO BID; Xylocaine 4% cream apply to affected area BID; Norco 5/325 1 tab PO q6h,yamask
"Paxil 20mg, administer by mouth once daily; Mexilitine 200mg, administer by mouth every 8 hours; cofagrigus 20mg IM BID; Crestor 20mg, administer by mouth once daily; Lasix 80 mg IV bolus",cofagrigus
"Carracosta 150mg PO qam; Dilantin 400mg , administer IV over 10 min; melatonin 3 mg, take one tablet by mouth at bedtime; Eliquis 5 mg, administer 1 tablet by mouth twice daily; Precedex 0.2 mcg/kg/hour",carracosta
Dilantin 100 mg IV every 8 hours; archeops 1mg IM once; Ceftazidime 2 g administered IV every 8 hours; Flagyl 500 mg IV every 8 hours; Lovenox 40 mg SQ once daily; Protonix 40 mg IV once daily,archeops
"Garbador 5% apply topically to affected area BID PRN; Bactrim 20 mg/kg/day IV, divided into three doses; Dilantin 100 mg IV administered every 8 hours; Zantac 50 mg IV every 8 hours; Heparin 5000 units SQ every 8 hours",garbodor
"Zosyn 4.5 g IV every 6 hours; Tyzavan 15-20 mg/kg IV every 8 hours; Levophed IV 0.05 mcg/kg/min, titrated to MAP goal; Cortef 200 mg continuous infusion; zorua 10mg IV once",zorua
"Maxipime 1 g IV every 8 hours; minccino 1% apply one drop to affected eye once daily; Tylenol 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily; Multaq 400mg, administer by mouth twice daily with meals",minccino
"Gothita 500mg IV once; Dextrose 50 g IV, administered over 5 minutes; Maxipime 1 g IV every 8 hours; Tylenol 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily; everolimus 0.75mg, administer by mouth twice daily",gothita
"Revatio 20mg, administer by mouth 3 times daily; Gothitelle 1gm/inch apply one inch to affected eye once daily; Maxipime 1 g IV every 8 hours; Tylenol 1 g IV every 6 hours as needed; posaconazole 300mg, adminster by mouth once daily",gothitelle
"Pronestyl 17 mg/kg, administer IV over 30 minutes; Protonix 40 mg, administer IV daily; solosis 1000mg IV once; Lovenox 90mg, administer SC twice daily; Lexapro 10mg, administer by mouth once daily; Xifaxan 550mg, 1 tablet by mouth twice daily",solosis
"Duosion 100mg PO once; Pronestyl 17 mg/kg, administer IV over 30 minutes; Ketalar 1 mg/kg/hour, administered as a continuous infusion; Levaquin 750mg, administer by mouth once daily; Tylenol 500mg, administer by mouth every 6 hours as needed for pain",duosion
"Pronestyl 17 mg/kg, administer IV over 30 minutes; reuniclus 50mg PO BID; Bactrim 800/160mg ; take 1 tablet by mouth once daily; Protonix 40 mg, administer IV daily; Lovenox 90mg, administer SC twice daily",reuniclus
Rythmol 225mg ER PO q12h; Digitek 62.5mg PO daily; vanillite 5 units SQ once; Novolog 7 units SQ TIDAC; insulin detemir 10 units SQ QHS; Tyzavan 1000mg IV q12h,vanillite
Xarelto 20mg PO daily; Diprivan 40mcg/kg/min; vanilluxe 40mg PO daily; Coreg 12.5mg PO q12h; Pepcid 20mg IV q12h,vanilluxe
Diprivan 25mcg/kg/min; Neurontin 800mg PO TID; emolga 1% apply topically BID: aspirin 81mg PO daily; Omnicef 300mg PO BID,emolga
Diprivan 20mcg/kg/min; Ketalar 0.2mg/kg/hr; escavalier 1000mg IV q12h; Lantus 10 units SQ q6h; Azactam 2000mg IV q8h,escavalier
Flomax 0.4mg PO daily; trevenant 1500mg IV once; Levemir 10 units SQ QHS; Maxipime 2000mg IV q8h; Tyzavan 1500mg IV q12h; Diprivan 60mcg/kg/min,trevenant
"Gourgeist 600mg IV once weekly; Rasburicase 6mg, administer IV as a single dose; Aloprim 400mg, administer by mouth every 8 hours; Zovirax 800 mg, administer 1 tablet by mouth twice daily; primaquine 30mg, administer by mouth once daily",gourgeist
"Veklury 100mg, administer IV once daily; Miralax 17g, Dissolve 17g in 120 ml of liquid once daily as needed for constipation; Sublimaze 50 mcg IV every hour as needed; avalugg 1% apply one drop to affected eye q 4-6 hours PRN; hydroxychloroquine 200mg, administer by mouth once daily",avalugg
Sustiva 600mg PO daily; noivern 100mg PO BID; Mycobutin 300mg PO daily; Toprol-XL 100mg PO daily; aspirin 81mg PO daily; Nebcin 7mg/kg IV once,noivern
Mycobutin 300mg PO daily; xerneas 100mg/act 1 puff in both nostril twice daily; Jantoven 2.5mg PO daily; Pepcid 20mg PO q12h; metoprolol 12.5mg PO q6h,xerneas
Rifadin 600mg PO daily; Nebcin 7mg/kg IV once; yveltal 150mg IM once; Eliquis 5mg PO BID; Diovan 40mg PO BID,yveltal
"Rifadin 600 mg IV once daily; diancie 100mg IM once weekly; Lacteted ringers 2000 ml, administer IV once; Mepron 1500mg, administer by mouth once daily; Pepcid 20 mg IV once",diancie
"Rifadin 600 mg IV once daily; Biktarvy 50/200/25mg, administer one tablet by mouth daily; Volcanion 75mg PO q6h; Rocephin 2g, administer IV once daily; Lovenox 40 mg, administer SQ daily; Adrenalin 0.07 mcg/kg/minute IV as a continuous infusion",volcanion
"Rifadin 600 mg IV once daily; melatonin 3 mg, take one tablet by mouth at bedtime; Lacteted ringers 2000 ml, administer IV once; Pradaxa 150mg, administer by mouth twice daily; Tyzavan 1000 mg IV, administer every 8 hours; shelmise 15mg PO daily",shelmise
"Rifadin 600 mg IV once daily; Cosmog 1mg IM once; Levophed 0.27 mcg/kg/minute IV as a continuous infusion; Xifaxan 550mg, 1 tablet by mouth twice daily; Xarelto 20mg, administer by mouth once daily",cosmog
"Rifadin 600 mg IV once daily; Atarax 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; Cosmoem 5mg IV BID; Brilinta 90mg, administer by mouth twice daily; Tylenol 30 mg IV every 6 hours; Heparin 5000 units SQ every 8 hours",cosmoem
Jantoven 10mg PO MWF; Jantoven 6mg PO SaSuTuTh; Rifadin 300mg PO BID; solgaleo 10mg IM once every 4 weeks; FeroSul 325mg PO daily; Levophed 10mcg/min iV,solgaleo
Adempas 1mg PO TID; lunala 100mg PO QHS prn insomina; isosorbide dinitrate 10mg PO TID; Prozac 20mg PO daily; Nebcin 7mg/kg IV once,lunala
Norvir 300mg PO daily; nihilego 100mg IM once weekly; Coreg 25mg PO BID; Xanax 1mg PO TID; Maxipime 2000mg IV q12h,nihilego
celesteela 10mg IV once every 4 weeks; Norvir 300mg PO daily; Miralax 17gm PO daily; Cordarone 400mg PO BID; Rocephin 1000mg IV q24h,celesteela
"Kartana 100mg IV on weeks 0, 2, and 8; Norvir 300mg PO daily; aspirin 325mg PO daily; Rocephin 1000mg IV q24h; Mycobutin 300mg PO daily",kartana
Necrozma 15mg PO QHS; Norvir 300mg PO daily; Xarelto 15mg PO BID; Nebcin 7mg/kg IV once; Neurontin 300mg PO TID; Aldactone 25mg PO daily,necrozma
Norvir 300mg PO daily; magearna 75mg PO daily; Revatio 40mg PO TID; Colace 100mg PO TID; Maxipime 2000mg IV q24h,magearna
Norvir 300mg PO daily; poipole 1000mg PO TID; aspirin 325mg PO daily; Rocephin 1000mg IV q24h; Flomax 0.04mg PO daily; Neurontin 300mg PO TID,poipole
Xarelto 20mg PO daily; Eliquis 5mg PO BID; zeraora 1mg PO TID PRN Anxiety; Rocephin 1000mg IV q24h; Ketalar 0.4mg/kg/hr,zeraora
aspirin 81mg PO daily; Rocephin 2000mg IV daily; melmetal 1 tablet PO daily; FeroSul 325mg PO daily; Ketalar 200mg IV once; Xarelto 15mg PO BID,melmetal
Xarelto 15mg PO BID; Dilantin 100mg PO TID; alcremie 10mg IM once; Rocephin 1000mg IV q24h; Tyzavan 1000mg IV q12h; Diprivan 20mcg/kg/min,alcremie
snom 5mg PO BID; Revatio 100mg PO once; isosorbide dinitrate 10mg PO q8h; Nebcin 7mg/kg IV q24h; magnesium citrate 300mL PO once; Jantoven 5mg PO daily,snom
"Betapace 80mg, administer by mouth twice daily; fosmouth 250mg IV once; Celexa 20mg, adminsiter my mouth once daily; Maxipime 2g, administer IV every 8 hours; Tyzavan 1000 mg IV, administer every 8 hours",frosmoth
"Ketalar 1 mg/kg/hour, administered as a continuous infusion; eiscue 7.5mg PO once; Invanz 1g, administer IV once daily; Betapace 80mg, administer by mouth twice daily; Levaquin 750mg, administer by mouth once daily",eiscue
Aldactone 25mg PO daily; Toprol-XL 100mg PO daily; Prinivil 20mg PO daily; indeedee 100mg PO once; Omnicef 300mg PO BID,indeedee
Colace 100mg PO BID; Xylocaine 5% patch topically daily; morpeko 1500mg IV q12h; Aldactone 50mg PO daily; potassium chloride 40mEq PO once,morpeko
Aldactone 25mg PO daily; copperajah 150mg IM weekly; Maxipime 2000mg IV q8h; potassium chloride 40mEq once; Pradaxa 150mg PO q12h,copperajah
Bactrim 800/160 1 tab PO BID; dracozolt 150mg PO daily; Xarelto 20mg PO daily; Azactam 2000mg IV q8h; Trexall 20mg PO once weekly; Fetroja 2000mg IV q8h,dracozolt
Rifadin 600mg PO daily; arctozolt 2.5mg IM once prn agitation; Nimbex IV 2mcg/kg/min; Azactam 2000mg IV q8h; Bactrim 800/160 1 tab PO BID,arctozolt
Bactrim 800/160 1 tab PO BID; duraludon 500mg IV daily; Aldactone 25mg PO daily; magnesium citrate 150mL once; Fetroja 2000mg IV q8h; Depakote 500mg PO q6h,duraludon
Jantoven 7.5mg PO daily; drakloak 25mg PO q12h; Toprol-XL 100mg PO daily; Azactam 2000mg IV q8h; Bactrim 800/160 1 tab PO BID,drakloak
Apresoline 25mg PO q6h; sumatriptan 25mg PO once; Zyvox 600mg IV q6h; zacian 100mg PO q6h; Colace 100mg PO BID,zacian
"Argatrobran 35 mcg/minute IV as a continuous infusion; Zamazenta 150mg PO daily; Levophed IV 0.05 mcg/kg/min, titrated to MAP goal; Primaxin 500 mg IV every 6 hours; Prograf 1mg, administer by mouth once daily; zoster live attentuated vaccine, administer 0.65 mls SC as a single dose",zamazenta
Flomax 0.4mg PO daily; Maxipime 2000mg IV q8h; eternatus 500mg IM once; Tyzavan 1000mg IV q12h; Cardura 4mg PO QHS; Depakote 500mg PO q6h,eternatus
"Vemlidy 25mg, administer by mouth once daily; Kubfu 10mg IM once PRN agitation; Tyzavan 1250mg; adminster IV every 8 hours; Maxipime 1 g IV every 8 hours; Luminal 260 mg, administer IV once;",kubfu
"Vemlidy 25mg, administer by mouth once daily; Urshifu 3% lotion apply to affected area twice daily as needed; Tylenol 300 mg IV every 6 hours as needed; Levophed 0.13 mcg/kg/minute IV as a continuous infusion; Diprivan 40 mcg/kg/minute, administer IV as a continuous infusion to achieve RASS goals; Nebcin 7 mg/kg, adminsiter IV once",urshifu
zarude 15mg IM once; Theo-24 100mg PO BID; Adempas 1mg PO TID; Tyzavan 1000mg IV q8h; Maxipime 2000mg IV q8h; Vasostrict 0.03units/min IV,zarude
Nebcin 7mg/kg IV q24h; gastrier 75mg IV once every 4 weeks; Lasix 80mg IV q8h; Colace 100mg PO daily; Pepcid 20mg IV q12h,gastrier
Nocdurna 28 mcg IV once; calyrex 80mg PO daily; tolvaptan 15mg PO once; Omnicef 300mg PO BID; Tylenol 500mg PO q6h; Ketalar 0.2mg/kg/hr IV,calyrex
Tolvaptan 15mg PO daily; qyrdeer 1000mg IV once; Dilantin 100mg PO TID; Rocephin 1000mg IV q24h; actaminophen 500mg PO q6h; Diprivan 20mcg/kg/min,qyrdeer
"Levophed 5 mcg/minute IV, titrate to MAP; ursaluna 25mg PO qhs; Tranexamic acid 1 g IV over 10 minutes; Cefazolin 1 g administered IV every 8 hours; Kcentra 2000 Units IV once.",ursaluna
Decadron 10 mg IV every 6 hours for 4 days; Basculegion 100mg IV q 6 months; Tyzavan 20 mg/kg IV every 8 hours; Merrem 500 mg IV every 6 hours; Zofran 4 mg every 4 to 8 hours as needed; Depakote 250 mg by mouth two times daily.,basculegion
Effexor 37.5mg ER PO daily; Prozac 20mg PO daily; overqwil 150mg IV q 3 weeks; Revatio 100mg PO once; Nimbex IV 2mcg/kg/min,overqwil
Verquvo 2.5mg PO daily; enamorous 50mg PO BID; Prozac 20mg PO daily; Adempas 1mg PO TID; Nebcin 300mg inhaled q12h,enamorus
"Lovenox 40mg; adminster SC daily; cyclizar 100mg IV once; Vfend 300mg; administer IV every 12 hours; Ethambutol 1750mg, administer by mouth three times weekly; esmolol 50 mcg/kg/minute, administer IV as a continuous infusion",cyclizar
Jantoven 5mg PO daily; alteplase 100mg IV once; glimmora 125mg IV once; Pepcid 20mg IV once; Colace 100mg PO q12h; Vasostrict 0.04unit/min IV,glimmora
Cordarone 400mg PO TID; Tyzavan 750mg IV q8h; flamigo 100mg PO once; Colace 100mg PO BID; Jantoven 6mg MWF; Jantoven 7.5mg SaSuTuTh,flamigo
Maxipime 1000mg IV q24h; Jantoven 2.5mg TuTh; cetitan 5mg/m2 IV once; Jantoven 5mg MWFSaS; Cetirizine 10mg PO daily; Travoprost1 drop in both eyes daily,cetitan
Jantoven 10mg PO daily; veluza 125mg IM once; Pradaxa 150mg PO BID; Tyzavan 1000mg IV q8h; Cortef 2% ointment apply topically to affected area BID,veluza
"dondozo 100mg PO TIDAC; thiamine 100mg, administer IV once daily, Marinol 5mg, administer by mouth twice daily; Pepcid 20 mg IV once; Jantoven 5 mg, take 1 tablet by mouth daily",dondozo
"Jantoven 5mg PO TuThS; Jantoven 7.5mg Sun, MWF; frigibax 200mg IV q12h; Lopressor 50mg q12h; Diflucan 200mg PO daily; Prinivil 5mg PO daily",frigibax
Flagyl 500mg IV q8h; baxcalibur 500mg IV q6h; Colace 100mg PO q12h; Xylocaine 5% patch topically once; Jantoven 3mg PO daily,baxcalibur
"Jantoven 5 mg, take 1 tablet by mouth daily; Luminal 260 mg, administer IV once; Albumin 1 g/kg, adminsiter IV once; Tyzavan 1000 mg IV, administer every 8 hours; relicanth 12mg SQ once daily",relicanth
Jantoven 10mg PO daily; latias 1 drop to the base of the upper eyelids QHS; Dilantin 100mg PO q8h; lipitor 10mg PO daily; Toprol-XL 50mg PO daily,latias
"Jirachi 500mg IV once; Invanz 1g, administer IV once daily; Jantoven 5 mg, take 1 tablet by mouth daily; Atarax 25 mg, take 1 tablet by mouth every 6 hours as needed for anxiety; Nolvadex 20mg, adminsiter 1 tablet by mouth once daily",jirachi
